time(s)	origin signal	filtered signal
0.601	0.621161		-0.92746
0.602	1.1062		-0.775679
0.603	1.20584		-0.564137
0.604	1.02921		-0.309581
0.605	0.710507		-0.0259716
0.606	0.419743		0.270854
0.607	0.39139		0.558046
0.608	0.418403		0.804518
0.609	0.597352		0.975187
0.61	0.471932		1.04028
0.611	0.190394		0.985051
0.612	-0.380936		0.815775
0.613	-0.989983		0.558622
0.614	-1.38548		0.251976
0.615	-1.45625		-0.0644359
0.616	-1.20472		-0.358576
0.617	-0.69581		-0.609755
0.618	-0.210625		-0.806269
0.619	0.213104		-0.939504
0.62	0.260849		-0.998989
0.621	0.202433		-0.972234
0.622	0.183584		-0.849473
0.623	0.338451		-0.631477
0.624	0.58003		-0.335619
0.625	0.982191		0.00355636
0.626	1.2918		0.340789
0.627	1.25895		0.631154
0.628	0.967028		0.840996
0.629	0.372469		0.954397
0.63	-0.283298		0.97244
0.631	-0.774307		0.906802
0.632	-1.01984		0.771645
0.633	-0.948382		0.578078
0.634	-0.675915		0.334368
0.635	-0.48024		0.0506693
0.636	-0.486312		-0.254663
0.637	-0.575226		-0.5521
0.638	-0.816501		-0.803819
0.639	-0.755145		-0.972356
0.64	-0.439173		-1.0312
0.641	0.0568163		-0.972755
0.642	0.692771		-0.809983
0.643	1.2096		-0.570995
0.644	1.39487		-0.28958
0.645	1.30515		0.00369752
0.646	0.877509		0.286135
0.647	0.375622		0.54151
0.648	0.0418756		0.755376
0.649	-0.0376863		0.910498
0.65	0.0357936		0.986515
0.651	0.0769331		0.964663
0.652	-0.0985821		0.835863
0.653	-0.401032		0.607933
0.654	-0.877231		0.307623
0.655	-1.26306		-0.0242634
0.656	-1.40466		-0.342884
0.657	-1.22292		-0.610422
0.658	-0.702628		-0.803328
0.659	-0.110239		-0.913301
0.66	0.504846		-0.942346
0.661	0.757651		-0.895764
0.662	0.78091		-0.777257
0.663	0.633898		-0.589089
0.664	0.505563		-0.336961
0.665	0.556078		-0.0363661
0.666	0.727455		0.283911
0.667	0.91772		0.584212
0.668	0.960972		0.822456
0.669	0.776892		0.965143
0.67	0.278049		0.996355
0.671	-0.398474		0.920313
0.672	-0.94594		0.757222
0.673	-1.32086		0.534463
0.674	-1.25634		0.277622
0.675	-1.03831		0.00587438
0.676	-0.586225		-0.266855
0.677	-0.297111		-0.526465
0.678	-0.163134		-0.753511
0.679	-0.278048		-0.92176
0.68	-0.290336		-1.00298
0.681	-0.141926		-0.975697
0.682	0.19363		-0.83439
0.683	0.731193		-0.594163
0.684	1.16167		-0.288257
0.685	1.51568		0.0405324
0.686	1.43321		0.351023
0.687	1.03842		0.612219
0.688	0.438604		0.806459
0.689	-0.104362		0.926371
0.69	-0.462657		0.969179
0.691	-0.581348		0.93186
0.692	-0.451747		0.810811
0.693	-0.410354		0.606398
0.694	-0.484848		0.329264
0.695	-0.682887		0.00462466
0.696	-0.984912		-0.328951
0.697	-1.22718		-0.627096
0.698	-1.06541		-0.850423
0.699	-0.653196		-0.973978
0.7	-0.0418516		-0.991652
0.701	0.681945		-0.913632
0.702	1.12233		-0.758878
0.703	1.15674		-0.547079
0.704	0.994471		-0.293932
0.705	0.713439		-0.0119977
0.706	0.45721		0.284228
0.707	0.413058		0.572831
0.708	0.432627		0.82292
0.709	0.572671		0.999012
0.71	0.525031		1.07036
0.711	0.0949316		1.02108
0.712	-0.38896		0.856177
0.713	-0.973915		0.600995
0.714	-1.43606		0.29358
0.715	-1.51832		-0.0260675
0.716	-1.21444		-0.32509
0.717	-0.667009		-0.581719
0.718	-0.131729		-0.783212
0.719	0.187792		-0.920369
0.72	0.281015		-0.982803
0.721	0.274301		-0.958519
0.722	0.175781		-0.83853
0.723	0.323827		-0.624207
0.724	0.58195		-0.332983
0.725	0.97046		0.00131762
0.726	1.34043		0.334627
0.727	1.28621		0.623382
0.728	0.925331		0.834679
0.729	0.398606		0.952335
0.73	-0.32871		0.976088
0.731	-0.845464		0.91549
0.732	-1.05902		0.782455
0.733	-0.948504		0.586614
0.734	-0.695792		0.336086
0.735	-0.540148		0.0424548
0.736	-0.507187		-0.273282
0.737	-0.633303		-0.578559
0.738	-0.81278		-0.833123
0.739	-0.756912		-0.998453
0.74	-0.455601		-1.04866
0.741	0.0519394		-0.978277
0.742	0.727882		-0.803132
0.743	1.26881		-0.553945
0.744	1.44575		-0.266268
0.745	1.3009		0.0289
0.746	0.843789		0.309577
0.747	0.420338		0.560999
0.748	0.0647706		0.77019
0.749	-0.0405764		0.920951
0.75	0.0363338		0.993107
0.751	0.0319153		0.967498
0.752	-0.130028		0.834428
0.753	-0.417179		0.601149
0.754	-0.86745		0.294257
0.755	-1.26605		-0.0450032
0.756	-1.40578		-0.370948
0.757	-1.19613		-0.644731
0.758	-0.732829		-0.84187
0.759	-0.0317026		-0.953448
0.76	0.49002		-0.981106
0.761	0.786115		-0.930168
0.762	0.804711		-0.80468
0.763	0.651517		-0.607356
0.764	0.535834		-0.344612
0.765	0.565304		-0.0329333
0.766	0.751433		0.297717
0.767	0.935558		0.606475
0.768	1.00397		0.850136
0.769	0.760924		0.994461
0.77	0.279294		1.0232
0.771	-0.339378		0.941074
0.772	-0.98027		0.769411
0.773	-1.34105		0.536977
0.774	-1.34324		0.270992
0.775	-0.984254		-0.00794472
0.776	-0.581428		-0.284788
0.777	-0.353631		-0.54496
0.778	-0.243547		-0.769212
0.779	-0.257784		-0.932055
0.78	-0.275504		-1.00621
0.781	-0.151365		-0.971469
0.782	0.13103		-0.823461
0.783	0.648958		-0.578099
0.784	1.14678		-0.268942
0.785	1.46014		0.0614007
0.786	1.35533		0.372241
0.787	1.04092		0.633296
0.788	0.418486		0.827541
0.789	-0.188031		0.947904
0.79	-0.434113		0.991384
0.791	-0.536147		0.954425
0.792	-0.470269		0.832625
